Date,Close Price,Percentage Change
2023-11-20,10.58,1.78%
2023-11-06,10.8,2.76%
2023-10-23,10.11,3.47%
2023-10-09,10.44,3.11%
2023-09-25,11.65,-0.43%
2023-09-11,11.8,12.92%
2023-08-28,10.98,-2.01%
2023-08-14,10.76,-9.09%
2023-07-31,12.41,-2.32%
2023-07-17,12.7,4.44%
2023-07-03,11.25,1.12%
2023-06-19,10.55,-4.18%
2023-06-05,11.0,-5.70%
2023-05-22,11.43,-1.89%
2023-05-08,11.3,5.21%
2023-04-24,10.88,0.18%
2023-04-10,11.4,-5.00%
2023-03-27,13.52,7.48%
2023-03-13,13.03,-13.11%
2023-02-27,14.49,3.02%
2023-02-13,14.66,3.94%
2023-01-30,13.99,-1.51%
2023-01-16,14.56,-0.58%
2023-01-02,13.47,2.05%
2022-12-19,12.28,2.08%
2022-12-05,12.63,2.81%
2022-11-21,12.01,2.34%
2022-11-07,10.7,11.85%
2022-10-24,9.41,9.80%
2022-10-10,8.15,-0.68%
2022-09-26,8.19,-6.25%
2022-09-12,9.31,-8.22%
2022-08-29,9.7,-3.43%
2022-08-15,10.18,-3.74%
2022-08-01,10.38,10.03%
2022-07-18,8.6,4.27%
2022-07-04,8.29,-0.20%
2022-06-20,8.7,-5.95%
2022-06-06,10.05,-8.14%
2022-05-23,10.62,-9.54%
2022-05-09,10.87,-15.93%
2022-04-25,13.93,-16.76%
2022-04-11,15.97,-5.87%
2022-03-28,16.58,13.02%
2022-03-14,16.33,-6.42%
2022-02-28,15.28,9.06%
2022-02-14,12.74,-3.12%
2022-01-31,13.41,0.15%
2022-01-17,13.44,-4.34%
2022-01-03,13.71,-1.44%
2021-12-20,14.28,0.63%
2021-12-06,14.87,0.20%
2021-11-22,15.71,3.63%
2021-11-08,14.87,10.80%
2021-10-25,15.9,-1.30%
2021-10-11,15.06,14.61%
2021-09-27,14.14,-8.24%
2021-09-13,14.82,-0.87%
2021-08-30,16.41,1.11%
2021-08-16,15.65,-1.07%
2021-08-02,16.45,1.42%
2021-07-19,16.14,-0.68%
2021-07-05,17.36,0.00%
2021-06-21,17.84,1.14%
2021-06-07,16.9,-6.32%
2021-05-24,18.82,-1.67%
2021-05-10,19.02,-8.47%
2021-04-26,24.06,-4.37%
2021-04-12,24.84,-5.55%
2021-03-29,28.18,9.74%
2021-03-15,22.48,1.35%
2021-03-01,19.47,-12.30%
2021-02-15,25.28,0.00%
2021-02-01,24.62,4.68%
2021-01-18,25.94,4.18%
2021-01-04,25.82,16.52%
2020-12-21,21.5,1.32%
2020-12-07,19.01,0.90%
2020-11-23,19.54,7.66%
2020-11-09,16.59,27.42%
2020-10-26,12.3,-4.43%
2020-10-12,13.57,0.52%
2020-09-28,11.85,13.51%
2020-09-14,11.77,4.16%
2020-08-31,10.99,-1.26%
2020-08-17,10.67,-0.19%
2020-08-03,10.87,23.87%
2020-07-20,9.65,1.85%
2020-07-06,8.66,-4.15%
2020-06-22,8.58,-7.99%
2020-06-08,9.18,-10.84%
2020-05-25,8.69,19.53%
2020-05-11,7.11,-6.26%
2020-04-27,7.4,6.02%
2020-04-13,7.49,-8.16%
2020-03-30,7.38,4.76%
2020-03-16,6.04,-19.21%
2020-03-02,10.5,-1.22%
2020-02-17,11.92,-4.41%
2020-02-03,12.0,1.78%
2020-01-20,12.51,-0.16%
2020-01-06,12.14,0.41%
2019-12-23,11.96,-3.78%
2019-12-09,12.21,-3.48%
2019-11-25,12.38,2.57%
